index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
124,Harpreet Singh,3,20,10.0,76.92,0.0,0.3333333333333333,0.7692307692307693
125,I Malhotra,1,7,7.0,175.0,1.0,1.0,1.0
126,I Sharma,17,45,7.5,76.27,0.3050847457627119,0.6470588235294118,0.4909090909090909
127,IK Pathan,82,1138,21.884615384615387,116.36,0.5828220858895705,0.36585365853658536,0.6651053864168618
128,IR Jaggi,7,76,15.2,76.0,0.24,0.2857142857142857,0.5531914893617021
129,Imran Tahir,7,20,5.0,74.07,0.4444444444444444,0.42857142857142855,0.3333333333333333
130,Iqbal Abdulla,13,87,43.5,103.57,0.5,0.8461538461538461,0.6081081081081081
131,J Archer,6,14,2.8,73.68,0.42105263157894735,0.16666666666666666,0.35294117647058826
132,J Botha,28,408,20.4,112.4,0.512396694214876,0.2857142857142857,0.6959247648902821
133,J Searles,2,8,8.0,133.33,1.0,0.5,0.4
134,J Suchith,5,48,48.0,145.45,0.8484848484848485,0.8,0.7407407407407407
135,J Syed Mohammad,5,29,14.5,107.41,0.5925925925925926,0.6,0.5652173913043478
136,J Theron,4,10,5.0,76.92,0.3076923076923077,0.5,0.5
137,JA Morkel,67,966,24.76923076923077,136.63,0.8033946251768034,0.417910447761194,0.6722972972972973
138,JC Buttler,37,1098,35.41935483870968,149.18,0.9483695652173914,0.16216216216216217,0.6837606837606838
139,JD Ryder,29,596,21.285714285714285,128.73,0.8250539956803455,0.034482758620689655,0.5676392572944297
140,JD Unadkat,10,54,10.8,105.88,0.5882352941176471,0.5,0.5454545454545454
141,JDP Oram,11,106,13.25,97.25,0.4954128440366973,0.2727272727272727,0.5306122448979592
142,JE Taylor,2,3,3.0,75.0,0.0,0.5,0.75
143,JEC Franklin,16,327,29.72727272727273,106.17,0.5,0.3125,0.6313868613138686
144,JH Kallis,95,2419,28.79761904761905,106.0,0.5609114811568799,0.11578947368421053,0.5740927419354839
145,JJ Bumrah,9,35,11.666666666666664,94.59,0.3783783783783784,0.6666666666666666,0.6176470588235294
146,JJ Roy,8,186,37.2,133.81,0.8633093525179856,0.375,0.584070796460177
